Scientific,SpecID,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Species,English,GS,Corneal.Diameter..mm.,Transverse.Diameter..mm.,Axial.Diameter..mm.,C.T,Source,Material,ScleroticRingOuterDiameter.mm,CollectionNumber,Notes
Phalaropus lobatus,4146,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,Phalaropus_lobatus,Red-necked Phalarope,Phalaropus_lobatus,3.92,8.335,NA,0.470305939,CaliforniaAcademyofSciences,skeleton,6.08,156151,CaliforniaAcademyofSciences
Pluvialis squatarola,4234,Charadriiformes,Charadriidae,Plovers,54,BL3,Pluvialis_squatarola,Grey Plover,Pluvialis_squatarola,10.47,20.13,NA,0.520119225,CaliforniaAcademyofSciences,skeleton,15.12,24579,CaliforniaAcademyofSciences
Recurvirostra americana,4224,Charadriiformes,Recurvirostridae,Stilts and avocets,53,BL3,Recurvirostra_americana,American Avocet,Recurvirostra_americana,7.12,14.765,NA,0.48222147,CaliforniaAcademyofSciences,skeleton,10.875,156152,CaliforniaAcademyofSciences
Anas platyrhynchos,679,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,Anas_platyrhynchos,Mallard,Anas_platyrhynchos,8.960588235,25.68294118,NA,0.349547078,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
Aphelocoma californica,7983,Passeriformes,Corvidae,Crows and jays,147,BL3,Aphelocoma_californica,Western Scrub-jay,Aphelocoma_californica,7.21,14.78,NA,0.488036183,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
Aquila chrysaetos,4864,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,Aquila_chrysaetos,Golden Eagle,Aquila_chrysaetos,19.405,36.885,NA,0.52631113,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
Branta canadensis,613,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,Branta_canadensis,Canada Goose,Branta_canadensis,11.67333333,31.785,NA,0.367274741,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
Bubulcus ibis,5243,Pelecaniformes,Ardeidae,Herons and egrets,25,BL3,Bubulcus_ibis,Cattle Egret,Bubulcus_ibis,8.763333333,16.14,NA,0.543133239,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
Buteo jamaicensis,4824,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,Buteo_jamaicensis,Red-tailed Hawk,Buteo_jamaicensis,15.83588235,29.98882353,NA,0.528252708,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
Buteo swainsoni,4814,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,Buteo_swainsoni,Swainson's Hawk,Buteo_swainsoni,13.2,25.99,NA,0.507887649,This study (see SEELabEyeMeasurements.csv),skeleton,NA,see SEELabEyeMeasurements.csv,"Values reflect averages across multiple specimens. See SEELabEyeMeasurements.csv for raw values, collection number, and source"
