Species,CommonNameBL,sumDiffPC1,sumDiffPC2,FemalePC1sum,MalePC1sum,FemalePC2sum,MalePC2sum,Species
Acanthagenys_rufogularis,Spiny-cheeked Honeyeater,-1.762925,-1.371498,-1.1887,-2.9516,-0.620371729,-1.991870216,Acanthagenys_rufogularis
Acanthiza_apicalis,Inland Thornbill,-4.734036,1.44474,-0.2401,-4.9741,0.375580861,1.820320602,Acanthiza_apicalis
Acanthiza_chrysorrhoa,Yellow-rumped Thornbill,-1.055544,0.7787,3.4663,2.4107,1.380375595,2.159075861,Acanthiza_chrysorrhoa
Acanthiza_lineata,Striated Thornbill,-2.062474,0.561137,-0.1992,-2.2617,-0.495957359,0.065179938,Acanthiza_lineata
Acanthiza_nana,Yellow Thornbill,-4.395448,0.278046,-0.1583,-4.5537,-2.311640589,-2.033595001,Acanthiza_nana
Acanthiza_pusilla,Brown Thornbill,0.113294,1.081544,-4.0514,-3.9381,0.211985756,1.293529392,Acanthiza_pusilla
Acanthiza_reguloides,Buff-rumped Thornbill,-0.684428,0.97624,-2.2895,-2.9739,-1.413691357,-0.43745166,Acanthiza_reguloides
Acanthiza_uropygialis,Chestnut-rumped Thornbill,3.904911,1.189595,-2.073,1.8319,1.309172499,2.498767084,Acanthiza_uropygialis
Acanthorhynchus_tenuirostris,Eastern Spinebill,-1.227731,-0.12529,-11.6377,-12.8655,-0.849451764,-0.974741921,Acanthorhynchus_tenuirostris
Accipiter_cirrocephalus,Collared Sparrowhawk,4.81664,2.006177,-3.0571,1.7596,0.599026533,2.60520317,Accipiter_cirrocephalus
Accipiter_fasciatus,Brown Goshawk,3.511439,2.095729,1.0165,4.5279,0.188067924,2.283796804,Accipiter_fasciatus
Accipiter_gentilis,Northern Goshawk,3.957259,1.453271,3.8197,7.7769,2.930209485,4.38348094,Accipiter_gentilis
Accipiter_nisus,Eurasian Sparrowhawk,3.640716,0.429638,1.6422,5.2829,0.922750261,1.352388324,Accipiter_nisus
Accipiter_novaehollandiae,Grey Goshawk,8.621533,1.609673,71.8528,80.4743,4.991871828,6.60154458,Accipiter_novaehollandiae
Acridotheres_tristis,Common Myna,-0.582254,0.755154,-11.7628,-12.345,1.051728557,1.806882294,Acridotheres_tristis
Acrocephalus_arundinaceus,Great Reed-warbler,-0.593665,0.792122,4.9564,4.3627,-4.451090487,-3.658968606,Acrocephalus_arundinaceus
Acrocephalus_palustris,Marsh Warbler,7.06228,0.477154,0.6119,7.6742,-2.44403047,-1.966875944,Acrocephalus_palustris
Acrocephalus_schoenobaenus,Sedge Warbler,0.626517,-0.916443,0.9604,1.587,-2.197327079,-3.113770409,Acrocephalus_schoenobaenus
Acrocephalus_scirpaceus,Eurasian Reed-warbler,0.518564,-3.035718,6.7384,7.2569,-0.551499547,-3.587217547,Acrocephalus_scirpaceus
Acrocephalus_stentoreus,Clamorous Reed-warbler,-1.418449,0.834901,0.0786,-1.3398,-3.98502194,-3.150121315,Acrocephalus_stentoreus
Actitis_macularius,Spotted Sandpiper,3.825497,0.376272,7.6516,11.4771,-0.145309115,0.230962764,Actitis_macularius
Aegolius_funereus,Boreal Owl,-1.468752,-0.857219,-6.4436,-7.9124,0.818760597,-0.038458433,Aegolius_funereus
Aethia_pusilla,Least Auklet,1.303289,0.657657,4.7132,6.0165,2.071463637,2.729120557,Aethia_pusilla
Agelaius_phoeniceus,Red-winged Blackbird,-7.560512,-0.568514,-11.1631,-18.7236,0.237007333,-0.331506323,Agelaius_phoeniceus
