species_code,UrbanIndex1,UrbanIndex2,UrbanIndex3,UrbanIndex4,UrbanIndex5,UrbanIndex6,PC1_scores,mean_br_occur,scientific_name,order,family,genus,common_name,test_spp,br_rng_extent,breeding_start_dt,breeding_end_dt,year_round_start_dt,year_round_end_dt,run_name
cangoo,0.42924509,0.102550933,6.175589134,0.087331039,0.08631092,1.131030395,1.477478833,NA,Branta canadensis,Anseriformes,Anatidae,Branta,Canada Goose,no,100,5/17/2018,8/3/2018,NA,NA,cangoo-ERD2018-EBIRD_SCIENCE-20191101-20ed4a75
mutswa,1.140485393,1.999270911,7.100836627,0.778563862,0.850108493,1.837326713,3.131330644,0.817736016,Cygnus olor,Anseriformes,Anatidae,Cygnus,Mute Swan,no,99,NA,NA,1/4/2018,12/28/2018,mutswa-ERD2018-EBIRD_SCIENCE-20191104-378b20fa
truswa,-1.081065036,-2,6.457150748,0.023313026,0.025365808,0.308698354,-0.937337458,0.20890937,Cygnus buccinator,Anseriformes,Anatidae,Cygnus,Trumpeter Swan,no,100,5/17/2018,9/7/2018,NA,NA,truswa-ERD2018-EBIRD_SCIENCE-20191030-90bf85a7
wooduc,0.539182918,0.350121946,7.026230838,0.188216622,0.317260582,1.246620686,1.743509213,NA,Aix sponsa,Anseriformes,Anatidae,Aix,Wood Duck,no,99,4/26/2018,8/17/2018,NA,NA,wooduc-ERD2018-EBIRD_SCIENCE-20191030-e29a115f
buwtea,-1.844061851,-1.990030901,6.200400343,0.055404723,0.024243407,0.54922969,-1.095003472,0.305111041,Spatula discors,Anseriformes,Anatidae,Spatula,Blue-winged Teal,no,97,6/14/2018,7/13/2018,NA,NA,buwtea-ERD2018-EBIRD_SCIENCE-20191026-e03b029e
cintea,-0.370802552,-0.445917182,6.081053032,0.052822427,0.064817692,0.753046252,0.291610958,0.551571893,Spatula cyanoptera,Anseriformes,Anatidae,Spatula,Cinnamon Teal,no,50,5/24/2018,7/6/2018,NA,NA,cintea-ERD2018-EBIRD_SCIENCE-20191105-145ef846
norsho,-1.802522053,-2,5.476107044,0.032402994,0.023825083,0.420633576,-1.273463061,NA,Spatula clypeata,Anseriformes,Anatidae,Spatula,Northern Shoveler,no,97,6/7/2018,7/20/2018,NA,NA,norsho-ERD2018-EBIRD_SCIENCE-20191103-421d971b
gadwal,-1.336645154,-1.939555574,6.118179498,0.055920003,0.033109769,0.498220901,-0.813712493,0.5566163,Mareca strepera,Anseriformes,Anatidae,Mareca,Gadwall,no,99,6/7/2018,7/27/2018,NA,NA,gadwal-ERD2018-EBIRD_SCIENCE-20191103-481aa100
amewig,-1.648266327,-1.971031803,6.152246351,0.022997792,0.010391004,0.420575751,-1.162931818,0.454291628,Mareca americana,Anseriformes,Anatidae,Mareca,American Wigeon,no,99,5/31/2018,8/3/2018,NA,NA,amewig-ERD2018-EBIRD_SCIENCE-20191103-90051c9b
mallar3,0.667988031,0.558123136,6.608904682,0.106765313,0.17477289,1.243078704,1.830146203,NA,Anas platyrhynchos,Anseriformes,Anatidae,Anas,Mallard,urban,99,6/7/2018,8/3/2018,NA,NA,mallar3-ERD2018-EBIRD_SCIENCE-20191101-708131f3
