Species,Urban,Domi,Mini,Body,Veget
Acanthiza apicalis,N,3.61,1.97,7.5,3.5
Acanthiza chrysorrhoa,U,5.34,3.31,9.3,2.5
Acanthiza ewingii,N,3.47,1.02,6.9,4
Acanthiza inornata,U,7.08,2.38,7,4
Acanthiza iredalei,N,6.38,4.52,6.1,2
Acanthiza katherina,N,2.67,1.03,7.2,4
Acanthiza pusilla,U,4.23,1.41,7.7,3
Acanthiza reguloides,N,6.97,1.46,7.7,3
Acanthiza uropygialis,N,5.49,3.29,6.4,2.5
Accipiter badius,U,5.25,1.67,122,2
Accipiter cirrocephalus,U,3.05,1.16,126,3
Accipiter cooperii,U,2.54,0.38,349,3
Accipiter fasciatus,U,3.38,1.31,293,3
Accipiter novaehollandiae,N,3.16,1.98,268,4
Accipiter striatus,N,4.22,1.59,99,4
Acrocephalus agricola,N,3.87,1.46,9.6,2
Acrocephalus arundinaceus,N,2.5,1.2,30,2
Acrocephalus dumetorum,U,3.7,2.06,11.2,2.5
Acrocephalus griseldis,N,1.98,0.86,16.7,2
Acrocephalus melanopogon,N,3.96,1.29,10.9,2
Acrocephalus paludicola,N,3.89,1.16,11.6,2
Acrocephalus palustris,U,3.7,1.44,11.5,2
Acrocephalus schoenobaenus,N,4.99,2.06,11.9,2
Acrocephalus stentoreus,U,2.58,1.2,24.2,2
Agelaius phoeniceus,N,2.99,2.07,65.3,2
Agelaius tricolor,U,2.48,1.32,68.2,2
Anas acuta,N,0.38,0.17,1006,1.5
Anas americana,N,1.93,0.77,792,2
Anas clypeata,N,0.43,0.08,636,2
Anas crecca,N,2.54,0.76,359,2.5
Anas cyanoptera,N,1.33,0.25,383,2
Anas discors,N,0.64,0.38,380,2
Anas penelope,N,2.11,0.56,819,2
Anas platyrhynchos,U,1.3,0.11,1246,2
Anas rubripes,N,1.8,0.21,1400,2
Anas strepera,N,1.72,0.25,968,1.5
Anthus campestris,N,3.54,2.18,23,1
Anthus cervinus,N,4.13,1.89,20.9,2
Anthus gustavi,N,4.6,1.94,19.8,2
Anthus hodgsoni,U,4.56,2.58,21.3,2.5
Anthus novaeseelandiae,U,4.51,2.2,24.1,1.5
Anthus petrosus,N,5.51,2.06,22.4,1
Calidris minuta,N,4.19,2.65,21.1,2
Calidris minutilla,N,3.48,2.04,22,2
Calidris pusilla,N,3.4,1.05,27.5,1.5
Calidris ruficollis,N,3.01,1.63,26.4,1.5
Calidris temminckii,U,4.2,1.73,23,1
Calidris tenuirostris,N,2.67,0.86,192,1
Callipepla californica,U,1.8,0.43,186,2.5
Callipepla gambelii,N,1.72,0.6,170,2
Callipepla squamata,N,1.89,0.25,191,1
Caprimulgus aegyptius,N,1.03,0.6,77.3,1
Caprimulgus carolinensis,U,1.55,0.94,109,3
Caprimulgus europaeus,N,1.85,0.73,67,2.5
Caprimulgus macrurus,N,0.86,0.25,66.2,3
Caprimulgus ridgwayi,N,2.67,1.46,48,2
Caprimulgus ruficollis,N,1.29,0.77,68.5,2.5
Caprimulgus vociferus,N,1.51,1.03,50.3,3
Carduelis cannabina,U,3.62,1.94,20.2,1
Carduelis carduelis,U,4.32,2.38,16,2.5
Carduelis chloris,U,3.53,2.43,26,3
Carduelis flammea,U,3.87,2.48,13,3
Carduelis hornemanni,N,3.54,2.12,15.5,2.5
Carduelis lawrencei,N,3.74,1.85,10.6,2.5
Carduelis pinus,U,5.19,2.21,12.7,3
Carduelis psaltria,U,4.04,1.85,9.5,2.5
Carduelis spinus,U,4.04,2.58,13.5,3
Carduelis tristis,U,4.12,2.33,13.1,2
Carpodacus cassinii,N,3.15,2.22,26.5,4
Carpodacus erythrinus,N,4.09,2.92,25,2.5
Carpodacus mexicanus,U,3.54,2.3,21.4,2.5
Carpodacus purpureus,U,3.43,2.15,23.3,3
Certhia americana,N,6.2,4.26,8.1,4
Certhia brachydactyla,U,5.76,4.68,8.2,3
Certhia familiaris,U,6.15,3.46,9,4
Charadrius alexandrinus,N,2.39,0.9,42.3,1
Charadrius dubius,U,2.95,1.89,38.7,1
Charadrius hiaticula,U,2.15,1.14,63.3,1
Charadrius leschenaultii,N,3.62,1.2,74.8,1
Charadrius melodus,N,2.54,1.61,54.4,1
Charadrius mongolus,N,3.53,2.32,64,1
Charadrius ruficapillus,N,4.47,0.94,37.4,1
Charadrius semipalmatus,N,2.11,1.01,47.4,1
Charadrius veredus,U,3.27,1.98,95,1.5
Charadrius vociferus,U,4.35,1.46,92.1,1
Charadrius wilsonia,N,4.65,1.98,55.1,1
Chordeiles acutipennis,N,0.73,0.51,48.5,1.5
Chordeiles minor,U,3.96,0.97,79.3,2
Dendroica townsendi,N,5.23,4,9.1,4
Dendroica virens,N,5.29,4.46,8.9,4
Emberiza aureola,N,3.17,2.32,19.6,2.5
Emberiza bruniceps,N,4.22,2.47,24.8,1
Emberiza buchanani,N,3.72,2.62,21.2,1
Emberiza caesia,N,4.8,3.28,20,2
Emberiza cia,N,4.23,2.32,24.2,2
Emberiza cineracea,N,4.47,2.6,24.3,1
Emberiza cirlus,U,4.71,3.87,25.6,2
Emberiza citrinella,N,5.53,4.02,29.7,2.5
Emberiza hortulana,N,4.22,2.92,19.9,2
Emberiza leucocephalos,N,4,3.74,28.5,3
Emberiza melanocephala,N,3.14,1.96,29.7,2.5
Emberiza pusilla,N,4.07,2.69,14.6,2.5
Emberiza rustica,N,3.83,2.21,21,3
Emberiza schoeniclus,N,4.86,3.21,19.7,2
Emberiza striolata,U,3.85,2.44,14.8,1
Eopsaltria australis,U,2.67,2.37,22.2,3
Eopsaltria griseogularis,N,2.64,1.77,19.9,2.5
Eremophila alpestris,U,4.65,3.71,36.2,1
Eremophila bilopha,N,4.26,1.67,38.5,1
Euphagus carolinus,N,4,1.73,64.3,3
Euphagus cyanocephalus,U,6.14,2.84,67.2,2
Falco berigora,N,2.32,0.43,506,2
Falco cenchroides,U,4.3,1.55,163,2
Falco columbarius,U,1.89,0.9,163,2
Falco mexicanus,N,2.32,1.11,560,1.5
Falco naumanni,U,3.7,1.46,141,1
Falco peregrinus,U,2.41,0.91,640,2
Falco sparverius,U,4.95,1.55,110,1
Falco tinnunculus,U,4.13,1.46,167,2
Ficedula albicollis,N,4.39,2.19,12.9,3
Ficedula hypoleuca,U,4.86,2.49,12.2,3
Ficedula parva,N,3.87,2.88,9.9,3.5
Ficedula semitorquata,N,4.79,3.44,14.4,4
Fringilla coelebs,U,3.53,2.28,24.6,4
Fringilla montifringilla,N,3.18,2.57,23.2,3
Fulica americana,N,0.9,0.3,724,2
Fulica atra,U,2.41,0.51,902,1.5
Fulica cristata,N,1.85,0.3,826,2
Galerida cristata,U,3.66,2.51,39,1
Galerida theklae,N,3.53,1.42,38.4,1
Gallinula chloropus,U,1.53,0.47,377,2
Gallinula mortierii,N,1.98,0.08,1334,2
Geopelia cuneata,N,0.86,0.51,31.6,2.5
Geopelia humeralis,U,0.68,0.25,133,3
Lichenostomus leucotis,N,1.68,0.86,26.5,2.5
Lichenostomus ornatus,N,2.97,1.5,18.4,3
Lichenostomus plumulus,N,2.32,1.61,16.5,3
Lichenostomus versicolor,U,2,0.68,35.5,2
Lichenostomus virescens,U,2.15,1.29,25.1,2.5
Loxia curvirostra,U,3.34,2.49,38.3,4
Loxia leucoptera,N,4.43,2.85,28.4,4
Loxia pytyopsittacus,N,3.61,2.67,53,3
Loxia scotica,N,3.57,2.32,44.6,3
Luscinia calliope,N,4.41,1.94,18.5,3
Luscinia megarhynchos,U,4.7,1.65,19.6,2
Luscinia svecica,N,4,3.02,16.1,2.5
Malurus amabilis,N,6.64,4.54,9.1,3
Malurus cyaneus,U,6.76,4.32,11.3,3
Malurus lamberti,U,6.33,3.09,7.6,2.5
Malurus pulcherrimus,N,6.69,4.43,9.4,2.5
Melanerpes aurifrons,U,2.23,0.43,85.4,2.5
Melanerpes carolinus,N,2.23,0.94,73.2,4
Melanerpes erythrocephalus,U,1.76,0.69,71.6,2
Melanerpes formicivorus,U,1.8,0.25,81.8,4
Melanerpes lewis,N,0.43,0.25,113,3
Melanerpes uropygialis,U,2.15,0.43,69.7,3.5
Melanodryas cucullata,N,2.25,1.33,21.3,2.5
Melanodryas vittata,U,2.54,1.74,26.6,3
Melospiza georgiana,N,4.76,3.19,16.1,2
Melospiza lincolnii,N,3.83,2.28,16.6,2
Melospiza melodia,U,5.06,2.5,20.5,3
Microeca fascinans,U,3.13,2.49,14.6,2.5
Microeca griseoceps,N,3.57,3.06,10.6,3.5
Motacilla alba,U,4.22,1.55,24,1
Motacilla cinerea,N,6.14,4.65,18,2.5
Motacilla citreola,N,5.85,3.25,19.2,2
Motacilla flava,N,5.82,3.4,17.7,2
Myiarchus crinitus,U,2.67,1.86,32.1,3
Myiarchus tuberculifer,N,2.62,2.21,18.2,3
Myiarchus tyrannulus,U,2.45,1.63,36.3,3.5
Neophema chrysogaster,U,5.42,0.68,46.1,2
Neophema petrophila,U,6.2,4.56,53.2,1
Neophema pulchella,N,6.63,4.04,42.7,3
Neophema splendida,N,2.23,0.68,38.6,3
Ninox novaeseelandiae,U,0.62,0.31,190,3
Ninox rufa,N,0.3,0.08,1088,3.5
Numenius americanus,N,2.41,1.2,531,1
Numenius arquata,N,1.68,1.29,742,1.5
Numenius madagascariensis,N,1.98,1.07,792,2
Numenius minutus,U,2.06,1.46,173,2
Phoenicurus phoenicurus,U,3.61,2.54,14.7,2
Phylidonyris melanops,N,2.39,1.62,19.3,2
Phylidonyris niger,U,2.37,1.46,19.5,2.5
Phylidonyris novaehollandiae,U,4.74,2.97,21.5,2.5
Phylloscopus bonelli,N,3.99,3.3,8.5,3.5
Phylloscopus borealis,N,4.37,3.05,11.2,3.5
Phylloscopus collybita,U,4.33,2.84,8.3,4
Phylloscopus humei,N,5.14,3.78,6,2.5
Phylloscopus inornatus,N,6.44,3.83,6.6,3
Phylloscopus sindianus,N,4.95,3.35,8.3,3
Phylloscopus proregulus,N,4.04,2.67,6.5,3.5
Phylloscopus sibilatrix,N,6.37,4.3,9.8,4
Phylloscopus trochiloides,N,4,2.41,8.6,3
Phylloscopus trochilus,U,4,2.49,8.7,2.5
Picoides albolarvatus,N,4.65,0.77,63,3
Picoides arcticus,N,2.58,0.99,72,3
Picoides borealis,N,2.06,0.68,48.6,3
Picoides dorsalis,N,2.75,1.16,58.3,4
Picoides nuttallii,N,3.61,1.46,38,4
Picoides pubescens,U,6.14,1.63,27.5,3
Picoides scalaris,N,3.27,0.43,33.7,2.5
Picoides stricklandi,N,3.87,0.77,37.7,4
Picoides tridactylus,N,3.35,1.03,70.1,4
Picoides villosus,U,4.52,0.86,69.3,3.5
Picus canus,N,1.35,1.09,137,3
Picus vaillantii,N,1.98,1.59,166,3
Picus viridis,U,1.83,0.74,176,3
Pipilo aberti,N,4.26,1.93,47.1,2.5
Pipilo chlorurus,N,3.87,2.56,29.4,2
Pipilo crissalis,U,5.18,4.14,53.9,2
Pipilo erythrophthalmus,N,4.27,2.32,41.3,2.5
Podargus ocellatus,N,0.6,0.21,213,4
Podargus papuensis,N,0.34,0.08,414,3
Podargus strigoides,U,0.3,0.08,354,3
Parus atricapillus,U,3.59,2.93,10.8,3
Parus carolinensis,U,5.25,2.71,10.1,4
Parus gambeli,N,3.42,3.03,11.7,4
Parus sclateri,N,4.24,2.52,10.1,3
Prunella atrogularis,N,5.98,3.53,18.5,3
Prunella collaris,N,3.71,2.25,46.9,1
Prunella modularis,U,4.39,2.36,20.3,3
Prunella ocularis,N,5.13,3.27,22.5,2
Psephotus chrysopterygius,N,3.1,1.29,46.8,3
Psephotus haematonotus,U,3.18,0.94,61.4,2.5
Psephotus varius,N,3.01,1.2,61.5,2.5
Rallus aquaticus,U,2.92,1.2,125,2
Sterna caspia,N,2.81,0.46,655,1
Sterna dougallii,N,3.03,0.88,112,1.5
Sterna forsteri,N,2.49,0.64,149,2
Sterna hirundo,U,2.94,0.7,130,1
Sterna maxima,N,2.11,0.38,419,1.5
Sterna sandvicensis,N,2.19,1.29,192,1
Strix aluco,U,0.81,0.68,426,3
Strix nebulosa,N,0.25,0.12,890,3.5
Strix occidentalis,N,0.51,0.17,544,4
Strix uralensis,N,0.34,0.25,706,3
Strix varia,N,0.6,0.08,632,4
Sturnella magna,U,3.57,3.01,102,1
Sturnella neglecta,N,2.76,1.78,112,1
Sylvia atricapilla,U,3.06,2.02,16.7,4
Sylvia cantillans,N,4,2.08,9.6,2
Sylvia communis,U,3.87,1.37,15.1,2.5
Sylvia conspicillata,U,3.68,2.35,9,1.5
Sylvia curruca,U,3.44,2.19,11.5,2.5
Sylvia deserticola,N,4.35,1.69,9.1,2.5
Sylvia hortensis,U,2.55,1.17,21.9,3
Sylvia leucomelaena,N,2.75,1.16,13.9,3
Sylvia melanocephala,U,3.53,1.38,11.7,2.5
Sylvia melanothorax,N,3.11,1.56,11.4,2.5
Sylvia mystacea,N,4.22,1.55,9.9,2
Sylvia nana,N,3.58,2.38,8.7,1
Sylvia nisoria,U,2.97,1.59,22.5,2.5
Sylvia rueppelli,N,4.04,2.04,13.1,1
Sylvia sarda,N,4.02,2.21,9.8,2
Sylvia undata,N,3.53,1.61,10.8,2.5
Tregellasia capito,U,4.2,2.4,13.9,3.5
Tregellasia leucops,N,3.27,2.15,16.7,4
Turdoides fulva,N,3.01,2.37,61.4,2
Turdoides squamiceps,U,3.14,1.46,73.5,2
Turdus iliacus,U,4.62,1.95,75.5,2.5
Turdus merula,U,2.34,1.44,103,3
Turdus migratorius,U,2.35,1.77,78.5,3
