species,museum,catalog number,orbit diameter (mm),sclerotic ring inner diameter (mm)
Anas platyrhynchos,BURKE,16467,26.16,9.3
Anas platyrhynchos,BURKE,26596,24.35,9.23
Anas platyrhynchos,BURKE,46390,25.83,9.37
Anas platyrhynchos,BURKE,56924,25.35,9.24
Anas platyrhynchos,BURKE,65099,24.65,8.13
Anas platyrhynchos,FMNH,105094,26.68,9.28
Anas platyrhynchos,FMNH,339005,25.73,8.82
Anas platyrhynchos,FMNH,347625,25.4,9.03
Anas platyrhynchos,FMNH,351235,27.87,9.23
Anas platyrhynchos,FMNH,390412,29.25,9.69
Anas platyrhynchos,FMNH,432918,28.93,9.7
Anas platyrhynchos,FMNH,435540,22.87,8.1
Anas platyrhynchos,FMNH,436328,24,7.68
Anas platyrhynchos,FMNH,475158,24.35,8.43
Anas platyrhynchos,FMNH,480399,23.87,8.28
Anas platyrhynchos,FMNH,483766,27.64,9.4
Anas platyrhynchos,NHMLA,105973,25,9.42
Branta canadensis,NHMLA,116721,32,11.34
Branta canadensis,NHMLA,116724,32,11.98
Branta canadensis,NHMLA,116727,32,11.7
Buteo jamaicensis,CAS,60955,30.18,16.16
Buteo jamaicensis,FMNH,88458,29.61,15.99
Buteo jamaicensis,FMNH,338776,30.43,15.94
Buteo jamaicensis,FMNH,351362,30.62,16.03
Buteo jamaicensis,FMNH,360635,30.66,16.26
Buteo jamaicensis,FMNH,390932,30.86,15.16
Buteo jamaicensis,FMNH,478701,31.16,16.53
Buteo jamaicensis,FMNH,483801,31,15.75
Buteo jamaicensis,FMNH,483805,30.78,16.24
Buteo jamaicensis,FMNH,498265,31.91,16.58
Buteo jamaicensis,FMNH,522792,32.12,16.3
Buteo jamaicensis,FMNH,527564,31.55,16.68
Buteo jamaicensis,FMNH,527566,30.04,15.96
Buteo jamaicensis,MVZ,23242,28.7,15.75
Buteo jamaicensis,MVZ,66668,29.2,15.69
Buteo jamaicensis,MVZ,66669,29.35,16.18
Buteo jamaicensis,MVZ,179957,30.39,16.06
Buteo jamaicensis,MVZ,180152,29.63,15.97
