scinam,genus_species,genus,species,peak_frequency,perc_forest_cover,n_ind,family,body_mass,body_mass_M,body_mass_F,SSD_bm,male_wing_avg,female_wing_avg,SSD,habitat_type
abroscopus,Abroscopus_albogularis,Abroscopus,albogularis,4651.2,66.77777778,3,sylviidae,,,,,,,,2
abroscopus,Abroscopus_schisticeps,Abroscopus,schisticeps,7235.2,100,1,sylviidae,4.7,,,,,,,2
abroscopus,Abroscopus_superciliaris,Abroscopus,superciliaris,5168,57.875,5,sylviidae,6.65,7.2,6.1,0.072002661,,,,2
acanthagenys,Acanthagenys_rufogularis,Acanthagenys,rufogularis,1894.9,15.25,5,meliphagidae,47.8,,,,113.8,108.55,0.020512434,1
acanthidops,Acanthidops_bairdii,Acanthidops,bairdii,6029.3,100,1,emberizidae,16,,,,,,,1
acanthiza,Acanthiza_apicalis,Acanthiza,apicalis,2842.4,42.21428571,4,acanthizidae,7.5,,,,,,,2
acanthiza,Acanthiza_chrysorrhoa,Acanthiza,chrysorrhoa,5340.2,33.28571429,5,acanthizidae,9.333333333,,,,57.8,57.6,0.001505355,1
acanthiza,Acanthiza_ewingii,Acanthiza,ewingii,3445.3,45.22222222,3,acanthizidae,6.9,,,,52.7,51,0.014240439,2
acanthiza,Acanthiza_inornata,Acanthiza,inornata,6373.8,41.25,3,acanthizidae,7,,,,48.9,47,0.017211001,2
acanthiza,Acanthiza_iredalei,Acanthiza,iredalei,7062.9,15,1,acanthizidae,6.05,,,,48.8,47.5,0.011726212,1
acanthiza,Acanthiza_katherina,Acanthiza,katherina,3273,96.77777778,3,acanthizidae,7.2,,,,52.1,50.4,0.014407187,2
acanthiza,Acanthiza_lineata,Acanthiza,lineata,7665.85,41.05555556,2,acanthizidae,6.866666667,7,6.4,0.038918066,53.1,52.2,0.007424018,2
acanthiza,Acanthiza_pusilla,Acanthiza,pusilla,3617.6,100,5,acanthizidae,7.7,8.6,7.7,0.048007726,51.6,49.5,0.018044503,2
acanthiza,Acanthiza_reguloides,Acanthiza,reguloides,6718.4,51.375,5,acanthizidae,7.7,,,,53.4,51.8,0.013211497,2
acanthiza,Acanthiza_robustirostris,Acanthiza,robustirostris,6373.8,25.25,1,acanthizidae,6.1,,,,52,50.1,0.016165618,2
acanthiza,Acanthiza_uropygialis,Acanthiza,uropygialis,4392.75,28.57142857,4,acanthizidae,6.4,,,,51.2,49.9,0.011169415,2
acanthorhynchus,Acanthorhynchus_superciliosus,Acanthorhynchus,superciliosus,3876,34.23611111,2,meliphagidae,9.75,10.5,9,0.06694679,61.78,57.68,0.029822652,1
acanthorhynchus,Acanthorhynchus_tenuirostris,Acanthorhynchus,tenuirostris,4651.2,94.5,5,meliphagidae,10.5,11.25,9.75,0.062147907,66.57,60.4,0.042241618,1
achaetops,Achaetops_pycnopygius,Achaetops,pycnopygius,1722.7,9.875,5,sylviidae,,,,,67.6,65.9,0.011061281,0
acridotheres,Acridotheres_albocinctus,Acridotheres,albocinctus,3962.1,0,1,sturnidae,,,,,,,,0
acridotheres,Acridotheres_cristatellus,Acridotheres,cristatellus,3359.15,3.111111111,2,sturnidae,116.5,,,,134,130.8,0.010497054,1
acridotheres,Acridotheres_fuscus,Acridotheres,fuscus,2756.2,16.44444444,3,sturnidae,82.8,,,,128,124.25,0.012913572,2
acridotheres,Acridotheres_ginginianus,Acridotheres,ginginianus,3789.8,7.625,1,sturnidae,72,,,,123.5,118.5,0.017948607,1
acridotheres,Acridotheres_grandis,Acridotheres,grandis,2928.5,22.42857143,5,sturnidae,99,103,95,0.035113619,,,,1
acridotheres,Acridotheres_tristis,Acridotheres,tristis,2756.2,6.625,5,sturnidae,116.6,123.5,113,0.038588514,142.59,137.66,0.015281304,1
acrobatornis,Acrobatornis_fonsecai,Acrobatornis,fonsecai,5340.2,72.42857143,3,furnariidae,13.7,,,,,,,2
acrocephalus,Acrocephalus_aedon,Acrocephalus,aedon,3445.3,6.714285714,5,sylviidae,22.4,,,,79.3,73.9,0.030628749,1
acrocephalus,Acrocephalus_agricola,Acrocephalus,agricola,4823.4,9,5,sylviidae,9.6,,,,56.5,54.1,0.018851183,0
acrocephalus,Acrocephalus_arundinaceus,Acrocephalus,arundinaceus,3100.8,25.125,5,sylviidae,27.8,,,,89.6,83.87,0.028701367,0
acrocephalus,Acrocephalus_australis,Acrocephalus,australis,3789.8,27.875,5,sylviidae,17.7,,,,73.3,69.62,0.022369956,0
acrocephalus,Acrocephalus_baeticatus,Acrocephalus,baeticatus,3789.8,4.428571429,5,sylviidae,10.2,,,,60.2,59.5,0.005079526,0
acrocephalus,Acrocephalus_bistrigiceps,Acrocephalus,bistrigiceps,4995.7,33.625,5,sylviidae,9.5,,,,55.3,52.3,0.024223442,0
