,CommonName_eBird,Coastal,Notes,
1,Brushland Tinamou,No,,
2,North Island Brown Kiwi,No,,
3,Australian Brushturkey,Yes,Coastal Rainforest and mangroves,
4,Rock Ptarmigan,No,high altitude habitats,
5,Swamp Francolin,No,inland swamps ,
6,Cape Spurfowl,No,,
7,Rock Pigeon,Yes,sea cliffs,
8,European Turtle-Dove,No,savanna ,
9,Dusky Turtle-Dove,No,,
10,Oriental Turtle-Dove,No,,
11,Pacific Emerald Dove,Yes,mangroves and coasral heaths ,
12,Brush Bronzewing,Yes,coastal heathlands ,
13,Caribbean Dove,No,,
14,Pin-tailed Sandgrouse,No,,
15,Chestnut-bellied Sandgrouse,No,,
16,Black-bellied Sandgrouse,No,,
17,Eastern Plantain-eater,No,,
18,Mangrove Cuckoo,Yes,,
19,Pacific Koel,No,,
20,Banded Bay Cuckoo,No,,
21,Brush Cuckoo,Yes,mangroves  ,
22,Cave Swiftlet,No,,
23,Pacific Swift,No,,
24,House Swift,No,,
25,Asian Palm Swift,Yes,mangroves,
26,African Palm Swift,Yes,coastal plains ,
27,Antillean Palm Swift,No,,
28,Fork-tailed Palm Swift,No,,
29,Oasis Hummingbird,Yes,coastal fog vegetation,
30,Bahama Woodstar,Yes,coastal habitats,
31,Snowcap,No,,
32,Snowy-bellied Hummingbird,Yes,mangroves,
33,Tropical Screech-Owl,No,,
34,Pacific Screech-Owl,Yes,mangroves,
35,Snowy Owl,Yes,"coastal tundra, and nests along coasts",
36,Buffy Fish-Owl,Yes,mangroves,
37,Bay Woodpecker,No,,
38,Rock Parrot,Yes,"coastal dunes, mangroves, saltflats",
39,Coconut Lorikeet,Yes,mangroves,
40,Pacific Parrotlet,No,,
41,Mangrove Pitta,Yes,mangroves,
42,Pacific Antwren,No,,
43,Marsh Antwren,Yes,mangroves,
44,Coastal Miner,Yes,coastal plains ,
45,Point-tailed Palmcreeper,No,,
46,Wren-like Rushbird,Yes,brackish marshes,
47,Curve-billed Reedhaunter,Yes,coastal lagoons,
48,Surf Cinclodes,Yes,intertidal zone,
49,Seaside Cinclodes,Yes,intertidal zone,
50,Lark-like Brushrunner,No,,
51,Sulphur-bearded Reedhaunter,No,freshwater marshes ,
52,Many-colored Rush Tyrant,No,"marshes, but no mention of coastal",
53,Cliff Flycatcher,No,,
54,Subtropical Doradito,No,"marshes, but no mention of coastal",
55,Pacific Elaenia,No,woodland scrub,
56,Torrent Tyrannulet,No,mountain streams,
57,Fulvous-faced Scrub-Tyrant,No,,
58,Pacific-slope Flycatcher,Yes,coastal scrub,
59,Northern Scrub-Flycatcher,Yes,mangroves,
60,Southern Scrub-Flycatcher,No,,
61,Drab Water Tyrant,No,,
62,White-headed Marsh Tyrant,No,freshwater marshes ,
63,Pied Water-Tyrant,No,freshwater marshes ,
64,Black-backed Water-Tyrant,No,freshwater  ,
65,Masked Water-Tyrant,No,freshwater  ,
66,Snowy-throated Kingbird,No,,
67,Tropical Kingbird,Yes,mangroves and coastal promontories ,
68,Mangrove Honeyeater,Yes,mangroves and estuaries,
69,Rockwarbler,Yes,seacliffs,
70,White-browed Scrubwren,Yes,coastal heathlands and dunes ,
71,Tasmanian Scrubwren,Yes,coastal shrubland,
72,Atherton Scrubwren,No,deep forest,
73,Tropical Scrubwren,No,,
74,Large-billed Scrubwren,No,,
75,Scrubtit,No,,
76,Mangrove Gerygone,Yes,mangroves,
77,Scrub Greenlet,No,,
78,Mangrove Vireo,Yes,mangroves,
79,Mangrove Whistler,Yes,mangroves,
80,Cape Batis,No,,
81,Tropical Boubou,No,,
82,Mangrove Fantail,Yes,mangroves,
83,Bay-backed Shrike,No,,
84,Florida Scrub-Jay,No,no explicit mention of coastal habitat ,
85,California Scrub-Jay,Yes,coastal scrub and mangroves,
86,Woodhouse's Scrub-Jay,No,,
87,House Crow,Yes,coastal villages,
88,Cape Crow,No,,
89,Fish Crow,Yes,"coast, beaches, estuaries",
90,Carrion Crow,Yes,coastal cliffs and estuarine flats,
91,North Island Kokako,No,,
92,North Island Saddleback,Yes,restricted to coastal forests,
93,North Island Robin,No,,
94,South Island Robin,No,,
95,Mangrove Robin,Yes,mangroves,
96,Southern Scrub-Robin,Yes,coastal tea tree ,
97,Cape Rockjumper,No,mountains  ,
98,Marsh Tit,No,,
99,Oak Titmouse,No,,
100,Sand Lark,Yes,coastal areas such as mudflats,
101,Bearded Reedling,No,no mention of coast,
102,Cape Crombec,No,,
103,Cape Grassbird,Yes,coastal macchia scrub ,
104,Malagasy Brush-Warbler,Yes,coastal thickets,
105,Aquatic Warbler,Yes,estuaries,
106,Black-browed Reed Warbler,No,migrates along coast,
107,Sedge Warbler,No,freshwater marshes ,
108,Paddyfield Warbler,No,,
109,Blyth's Reed Warbler,No,,
110,Marsh Warbler,Yes,mangroves,
