"","CommonName_eBird"
"1","Taiga Bean-Goose"
"2","Barnacle Goose"
"3","Upland Goose"
"4","Wood Duck"
"5","Puna Teal"
"6","Giant Wood-Rail"
"7","Russet-naped Wood-Rail"
"8","Gray-cowled Wood-Rail"
"9","Slaty-breasted Wood-Rail"
"10","Plain Bush-hen"
"11","Pale-vented Bush-hen"
"12","Bush Thick-knee"
"13","Mountain Plover"
"14","Upland Sandpiper"
"15","Eurasian Woodcock"
"16","American Woodcock"
"17","Wood Sandpiper"
"18","Wood Stork"
"19","Rufescent Tiger-Heron"
"20","Fasciated Tiger-Heron"
"21","Bare-throated Tiger-Heron"
"22","Cattle Egret"
"23","Indian Pond-Heron"
"24","Chinese Pond-Heron"
"25","Javan Pond-Heron"
"26","Malagasy Pond-Heron"
"27","Puna Ibis"
"28","European Honey-buzzard"
"29","Oriental Honey-buzzard"
"30","Mountain Hawk-Eagle"
"31","Steppe Eagle"
"32","Savanna Hawk"
"33","Woodland Kingfisher"
"34","Forest Kingfisher"
"35","Collared Forest-Falcon"
"36","Slaty-backed Forest-Falcon"
"37","Barred Forest-Falcon"
"38","Bat Falcon"
"39","Prairie Falcon"
