,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes_Family,Notes_Species
61,Accipiter tachiro,Accipiter tachiro,Accipiter tachiro,"Accipitridae (Hawks, Eagles, and Kites)",African Goshawk,1.670355626,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
10,Polyboroides typus,Polyboroides typus,Polyboroides typus,"Accipitridae (Hawks, Eagles, and Kites)",African Harrier-Hawk,1.448751249,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
178,Falco cuvierii,Falco cuvierii,Falco cuvierii,Falconidae (Falcons and Caracaras),African Hobby,1.536131581,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
50,Circus ranivorus,Circus ranivorus,Circus ranivorus,"Accipitridae (Hawks, Eagles, and Kites)",African Marsh-Harrier,0.779258739,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
194,Haematopus moquini,Haematopus moquini,Haematopus moquini,Haematopodidae (Oystercatchers),African Oystercatcher,1.433498153,NA,NA,NA,NA,Haematopodidae,(Oystercatchers),Yes,,NA
115,Cypsiurus parvus,Cypsiurus parvus,Cypsiurus parvus,Apodidae (Swifts),African Palm Swift,1.750591434,NA,NA,NA,NA,Apodidae,(Swifts),Yes,,coastal plains 
136,Pluvialis dominica,Pluvialis dominica,Pluvialis dominica,Charadriidae (Plovers and Lapwings),American Golden-Plover,1.209247746,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
173,Falco sparverius,Falco sparverius,Falco sparverius,Falconidae (Falcons and Caracaras),American Kestrel,1.535513151,Falco sparverius,0.697136296,Falco sparverius,U,Falconidae,(Falcons and Caracaras),Yes,,NA
193,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus,Haematopodidae (Oystercatchers),American Oystercatcher,1.313688347,Haematopus palliatus,0.57896292,NA,NA,Haematopodidae,(Oystercatchers),Yes,,NA
175,Falco amurensis,Falco amurensis,Falco amurensis,Falconidae (Falcons and Caracaras),Amur Falcon,1.792247146,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
23,Spilornis elgini,Spilornis elgini,Spilornis elgini,"Accipitridae (Hawks, Eagles, and Kites)",Andaman Serpent-Eagle,0.152434534,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
129,Vultur gryphus,Vultur gryphus,Vultur gryphus,Cathartidae (New World Vultures),Andean Condor,0.321418065,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,,NA
261,Theristicus melanopis,Theristicus branickii,Theristicus branickii,Threskiornithidae (Ibises and Spoonbills),Andean Ibis,0.158134991,NA,NA,NA,NA,Threskiornithidae,(Ibises and Spoonbills),Yes,some in coastal lagoons,NA
146,Vanellus resplendens,Vanellus resplendens,Vanellus resplendens,Charadriidae (Plovers and Lapwings),Andean Lapwing,0.383963039,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
182,Falco femoralis,Falco femoralis,Falco femoralis,Falconidae (Falcons and Caracaras),Aplomado Falcon,2.036616891,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
