,CommonName_eBird,Coastal,Notes_Species
1,African Goshawk,Yes,mangroves
2,African Harrier-Hawk,No,forest
3,African Hobby,No,no mention of coastal
4,African Marsh-Harrier,No,no mention of coastal
5,African Oystercatcher,Yes,coastal habitats
6,African Palm Swift,Yes,coastal plains 
7,American Golden-Plover,Yes,coastal habitats
8,American Kestrel,No,no mention of coastal
9,American Oystercatcher,Yes,coastal habitats
10,Amur Falcon,Yes,trans-ocean flights but no mention of coastal habitat use
11,Andaman Serpent-Eagle,No,mostly inland
12,Andean Condor,Yes,forage along shoreline 
13,Andean Ibis,No,little known but no indicated of coastal use
14,Andean Lapwing,No,avoids saline water
15,Aplomado Falcon,Yes,various coastal habitats
16,Aquatic Warbler,Yes,estuaries
17,Arctic Warbler,Yes,mangroves
18,Ash-throated Crake,No,"habitat is freshwater flood plains associated with Amazon river, not coastal"
19,Ashy-headed Goose,Yes,sea coasts
20,Asian House-Martin,Yes,sea coasts  
21,Asian Palm Swift,Yes,mangroves
22,Augur Buzzard,No,no mention of coastal
23,Australian Brushturkey,Yes,Coastal Rainforest and mangroves
24,Australian Hobby,Yes,winters in coastal areas
25,Bahama Mockingbird,Yes,Coastal Strand
26,Bahama Oriole,Yes,coastal areas  
27,Bahama Swallow,Yes,along the coast
28,Bahama Woodstar,Yes,coastal habitats
29,Banded Lapwing,Yes,along coast
30,Bank Swallow,Yes,coastal banks
31,Barred Forest-Falcon,Yes,tidal swamp forests
32,Barred Rail,Yes,habitat includes coastal swamps
33,Bay-breasted Warbler,Yes,coastal habitats
34,Baya Weaver,Yes,mangroves
35,Besra,Yes,mangroves
36,Bicolored Hawk,No,no mention of coastal
37,Black Baza,Yes,mangroves  
38,Black Eagle,No,no mention of coastal
39,Black Goshawk,No,no mention of coastal
40,Black Harrier,Yes,coastal dunes
41,Black Hawk-Eagle,No,tropical forests
42,Black Turnstone,Yes,coastal habitats
43,Black-and-chestnut Eagle,No,higher elevation
44,Black-bellied Plover,Yes,beaches and mudflats
45,Black-chested Buzzard-Eagle,No,open country
46,Black-crowned Palm-Tanager,Yes,mangroves
47,Black-faced Ibis,Yes,"found in sandy habitats and coastal hills, marine molluscs found in diet"
48,Black-shouldered Kite,Yes,coastal sand dunes
49,Black-winged Kite,No,savanna and arid steppes
50,Blackish Oystercatcher,Yes,coastal habitats
51,Blue Rock-Thrush,Yes,rocky coasts
52,Blyth's Hawk-Eagle,No,higher elevation
53,Bonelli's Eagle,No,no mention of coastal
54,Booted Eagle,No,no mention of coastal
55,Broad-winged Hawk,No,no mention of coastal
56,Brown Falcon,No,no mention of coastal
57,Brown Goshawk,No,no mention of coastal
58,Brush Bronzewing,Yes,coastal heathlands 
59,Brush Cuckoo,Yes,mangroves  
60,Buff-breasted Sandpiper,Yes,coastal grasslands and beaches
61,Buff-necked Ibis,No,"""often far from water"""
62,Bush Thick-knee,Yes,mangroves and saltmarsh
63,California Condor,Yes,beaches
64,California Scrub-Jay,Yes,coastal scrub and mangroves
65,Cape Bulbul,Yes,coastal scrub
66,Cape Canary,Yes,beaches
67,Cape Grassbird,Yes,coastal macchia scrub 
68,Cape May Warbler,Yes,mangroves and coastal vegetation
69,Cape Robin-Chat,Yes,forages in intertidal zone
70,Cape Rock-Thrush,Yes,forages in intertidal zone
71,Cape Siskin,Yes,coastal scrub
72,Cape Sparrow,Yes,coastal cliffs
73,Cape White-eye,Yes,coastal habitats
74,Caribbean Martin,Yes,sea coasts and beaches
75,Carrion Crow,Yes,coastal cliffs and estuarine flats
76,Changeable Hawk-Eagle,No,no mention of coastal
77,Chestnut-collared Longspur,No,range map is entirely inland
78,Chinese Sparrowhawk,No,no mention of coastal
79,Cinereous Harrier,Yes,coastal marshes
80,Cinereous Vulture,No,no mention of coastal
81,Coastal Miner,Yes,coastal plains 
82,Coconut Lorikeet,Yes,mangroves
83,Collared Forest-Falcon,Yes,Mangroves
