"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes","Diet.Vfish","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","PelagicSpecialist"
"1","Anhima cornuta","Anhima cornuta","Anhima cornuta","Anhimidae (Screamers)","Horned Screamer",0.102651497,NA,NA,NA,NA,"Anhimidae","(Screamers)","No","Freshwater habitats like swamps, marshes, lagoons ",0,"PlantSeed",0,40,0
"2","Chauna torquata","Chauna torquata","Chauna torquata","Anhimidae (Screamers)","Southern Screamer",1.4162873356,NA,NA,NA,NA,"Anhimidae","(Screamers)","No","Freshwater habitats like swamps, marshes, lagoons ",0,"PlantSeed",0,40,0
"3","Anseranas semipalmata","Anseranas semipalmata","Anseranas semipalmata","Anseranatidae (Magpie Goose)","Magpie Goose",1.3928014082,NA,NA,NA,NA,"Anseranatidae","(Magpie Goose)","No","",0,"PlantSeed",0,40,0
"4","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Cuculidae (Cuckoos)","Black-billed Cuckoo",1.371936674,"Coccyzus erythropthalmus",0.192462831,"Coccyzus erythropthalmus","U","Cuculidae","(Cuckoos)","No","",10,"Invertebrate",0,0,0
"5","Hydropsalis torquata","Hydropsalis torquata","Hydropsalis torquata","Caprimulgidae (Nightjars and Allies)","Scissor-tailed Nightjar",1.8051706995,NA,NA,NA,NA,"Caprimulgidae","(Nightjars and Allies)","No","",0,"Invertebrate",0,20,0
"6","Caprimulgus carolinensis","Antrostomus carolinensis","Antrostomus carolinensis","Caprimulgidae (Nightjars and Allies)","Chuck-will's-widow",1.29739463016667,"Antrostomus carolinensis",-0.576825081,"Caprimulgus carolinensis","U","Caprimulgidae","(Nightjars and Allies)","No","",0,"Invertebrate",0,10,0
"7","Caprimulgus vociferus","Antrostomus vociferus","Antrostomus vociferus","Caprimulgidae (Nightjars and Allies)","Eastern Whip-poor-will",0.8437188178,"Antrostomus vociferus",-0.654089467,"Caprimulgus vociferus","N","Caprimulgidae","(Nightjars and Allies)","No","",0,"Invertebrate",0,10,0
"8","Caprimulgus vociferus","Antrostomus arizonae","Antrostomus arizonae","Caprimulgidae (Nightjars and Allies)","Mexican Whip-poor-will",0.756584135,NA,NA,"Caprimulgus vociferus","N","Caprimulgidae","(Nightjars and Allies)","No","",0,"Invertebrate",0,10,0
"9","Caprimulgus aegyptius","Caprimulgus aegyptius","Caprimulgus aegyptius","Caprimulgidae (Nightjars and Allies)","Egyptian Nightjar",NA,NA,NA,"Caprimulgus aegyptius","N","Caprimulgidae","(Nightjars and Allies)","No","",0,"Invertebrate",0,10,0
"10","Aramus guarauna","Aramus guarauna","Aramus guarauna","Aramidae (Limpkin)","Limpkin",1.64868802581818,NA,NA,NA,NA,"Aramidae","(Limpkin)","No","",0,"Omnivore",0,50,0
