CommonName,aveUAI,Species_eBird,Order_eBird,Species_Jetz
Ameline Swiftlet,1.594981561,Aerodramus amelis,Caprimulgiformes,Collocalia amelis
Black-and-white Mannikin,1.136834645,Spermestes bicolor,Passeriformes,Lonchura bicolor
Black-browed Albatross,0.649841281,Thalassarche melanophris,Procellariiformes,Thalassarche melanophrys
Black-capped Hemispingus,0.064388143,Kleinothraupis atropileus,Passeriformes,Hemispingus atropileus
Black-eared Hemispingus,0.118614384,Sphenopsis melanotis,Passeriformes,Hemispingus melanotis
Green Parakeet,3.443845175,Psittacara holochlorus,Psittaciformes,Aratinga holochlora
Lesser Whitethroat,1.76752431,Curruca curruca,Passeriformes,Sylvia althaea
Rock Martin,1.871425168,Ptyonoprogne fuligula,Passeriformes,Hirundo fuligula
Silver Gull,1.556049842,Chroicocephalus novaehollandiae,Charadriiformes,Larus novaehollandiae
Yellow Warbler,1.88222645,Setophaga petechia,Passeriformes,Dendroica petechia
