"","descriptors"
"1","Abbott's"
"2","Aberrant"
"3","Abert's"
"4","Abyssinian"
"5","Acadian"
"6","Acorn"
"7","African"
"8","Albert's"
"9","Alder"
"10","Alexandrine"
"11","Allen's"
"12","Alpine"
"13","Altamira"
"14","Amazilia"
"15","Amazon"
"16","Amazonian"
"17","Ameline"
"18","American"
"19","Amethyst"
"20","Amethyst-throated"
"21","Amur"
"22","Ancient"
"23","Andaman"
"24","Andean"
"25","Angola"
"26","Anna's"
"27","Ant"
"28","Anteater"
"29","Antillean"
"30","Apical"
"31","Aplomado"
"32","Apolinar's"
"33","Aquatic"
"34","Arabian"
"35","Arafura"
"36","Arctic"
"37","Arizona"
"38","Armenian"
"39","Arrow-marked"
"40","Arrowhead"
"41","Ash-breasted"
"42","Ash-browed"
"43","Ash-colored"
"44","Ash-throated"
"45","Ashy"
"46","Ashy-bellied"
"47","Ashy-crowned"
"48","Ashy-fronted"
"49","Ashy-headed"
"50","Ashy-throated"
"51","Asian"
"52","Atherton"
"53","Atlantic"
"54","Audouin's"
"55","Audubon's"
"56","Augur"
"57","Austral"
"58","Australasian"
"59","Australian"
"60","Azara's"
"61","Azure"
"62","Azure-crowned"
"63","Azure-hooded"
"64","Azure-rumped"
"65","Azure-shouldered"
"66","Azure-winged"
"67","Bachman's"
"68","Baglafecht"
"69","Bahama"
"70","Baillon's"
"71","Baird's"
"72","Bald"
"73","Balearic"
"74","Baltimore"
"75","Bamboo"
"76","Band-backed"
"77","Band-rumped"
"78","Band-tailed"
"79","Band-winged"
"80","Banded"
"81","Bank"
"82","Bar-bellied"
"83","Bar-breasted"
"84","Bar-crested"
"85","Bar-headed"
"86","Bar-shouldered"
"87","Bar-tailed"
"88","Bar-throated"
"89","Bar-winged"
"90","Bare-faced"
"91","Bare-necked"
"92","Bare-throated"
"93","Barking"
"94","Barn"
"95","Barnacle"
"96","Barred"
"97","Barren"
"98","Barrow's"
"99","Basra"
"100","Bassian"
"101","Bat"
"102","Bay"
"103","Bay-backed"
"104","Bay-breasted"
"105","Bay-headed"
"106","Baya"
"107","Beach"
"108","Bean"
"109","Bearded"
"110","Beardless"
"111","Beautiful"
"112","Bee"
"113","Beijing"
"114","Belcher's"
"115","Bell"
"116","Bell's"
"117","Belted"
"118","Bendire's"
"119","Bengal"
"120","Berthelot's"
"121","Beryl-spangled"
"122","Berylline"
"123","Bewick's"
"124","Bicknell's"
"125","Bicolored"
"126","Black"
"127","Black-and-chestnut"
"128","Black-and-crimson"
"129","Black-and-rufous"
"130","Black-and-white"
"131","Black-and-white-casqued"
"132","Black-and-yellow"
"133","Black-backed"
"134","Black-bellied"
"135","Black-billed"
"136","Black-bodied"
"137","Black-breasted"
"138","Black-browed"
"139","Black-capped"
"140","Black-cheeked"
"141","Black-chested"
"142","Black-chinned"
"143","Black-collared"
"144","Black-cowled"
"145","Black-crested"
"146","Black-crowned"
"147","Black-eared"
"148","Black-faced"
"149","Black-fronted"
"150","Black-goggled"
"151","Black-headed"
"152","Black-hooded"
"153","Black-legged"
"154","Black-lored"
"155","Black-naped"
"156","Black-necked"
"157","Black-necklaced"
"158","Black-polled"
"159","Black-rumped"
"160","Black-shouldered"
"161","Black-sided"
"162","Black-spotted"
"163","Black-striped"
"164","Black-tailed"
"165","Black-throated"
"166","Black-vented"
"167","Black-whiskered"
"168","Black-winged"
"169","Blackburnian"
"170","Blackish"
"171","Blackpoll"
"172","Blacksmith"
"173","Blas"
"174","Blond-crested"
"175","Blood-colored"
"176","Blue"
"177","Blue-and-black"
"178","Blue-and-white"
"179","Blue-and-yellow"
"180","Blue-backed"
"181","Blue-banded"
"182","Blue-bearded"
"183","Blue-billed"
"184","Blue-black"
"185","Blue-breasted"
"186","Blue-capped"
"187","Blue-cheeked"
"188","Blue-chested"
"189","Blue-crowned"
"190","Blue-eared"
"191","Blue-faced"
"192","Blue-footed"
"193","Blue-gray"
"194","Blue-headed"
"195","Blue-mantled"
"196","Blue-naped"
"197","Blue-necked"
"198","Blue-rumped"
"199","Blue-spotted"
"200","Blue-tailed"
"201","Blue-throated"
"202","Blue-tufted"
"203","Blue-vented"
"204","Blue-winged"
"205","Bluish"
"206","Bluish-fronted"
"207","Bluish-gray"
"208","Bluish-slate"
"209","Blyth's"
"210","Boat-billed"
"211","Boat-tailed"
"212","Bogota"
"213","Bohemian"
"214","Bold-striped"
"215","Bolivian"
"216","Bonaparte's"
"217","Bonelli's"
"218","Booted"
"219","Boreal"
"220","Bornean"
"221","Botteri's"
"222","Boucard's"
"223","Bower's"
"224","Bracken"
"225","Brahminy"
"226","Bran-colored"
"227","Brandt's"
"228","Brassy-breasted"
"229","Brazilian"
"230","Brewer's"
"231","Bridled"
"232","Bright-rumped"
"233","Brimstone"
"234","Bristle-thighed"
"235","Broad-billed"
"236","Broad-tailed"
"237","Broad-winged"
"238","Bronze"
"239","Bronze-tailed"
"240","Bronze-winged"
"241","Bronzed"
"242","Bronzy"
"243","Brown"
"244","Brown-and-yellow"
"245","Brown-backed"
"246","Brown-bellied"
"247","Brown-billed"
"248","Brown-breasted"
"249","Brown-capped"
"250","Brown-cheeked"
"251","Brown-chested"
"252","Brown-crested"
"253","Brown-crowned"
"254","Brown-eared"
"255","Brown-headed"
"256","Brown-hooded"
"257","Brown-necked"
"258","Brown-rumped"
"259","Brown-throated"
"260","Brownish-flanked"
"261","Bruce's"
"262","Brush"
"263","Brushland"
"264","Buff-banded"
"265","Buff-bellied"
"266","Buff-breasted"
"267","Buff-browed"
"268","Buff-cheeked"
"269","Buff-collared"
"270","Buff-fronted"
"271","Buff-necked"
"272","Buff-rumped"
"273","Buff-tailed"
"274","Buff-throated"
"275","Buff-winged"
"276","Buffy"
"277","Buffy-crowned"
"278","Bull-headed"
"279","Buller's"
"280","Bullock's"
"281","Bulwer's"
"282","Bumblebee"
"283","Burnished-buff"
"284","Burrowing"
"285","Bush"
"286","Bushy-crested"
"287","Buzzard"
"288","Caatinga"
"289","Cabanis's"
"290","Cackling"
"291","Cactus"
"292","Caica"
"293","Calandra"
"294","California"
"295","Calliope"
"296","Campo"
"297","Canada"
"298","Canary"
"299","Canivet's"
"300","Canyon"
"301","Cape"
"302","Capped"
"303","Caqueta"
"304","Caracas"
"305","Cardinal"
"306","Carib"
"307","Caribbean"
"308","Carmiol's"
"309","Carolina"
"310","Carrion"
"311","Caspian"
"312","Cassin's"
"313","Cattle"
"314","Cave"
"315","Ceara"
"316","Cedar"
"317","Cerulean"
"318","Cetti's"
"319","Chabert"
"320","Chaco"
