"","Family_Sci","Family_English"
"1","Struthionidae","(Ostriches)"
"2","Rheidae","(Rheas)"
"3","Tinamidae","(Tinamous)"
"4","Casuariidae","(Cassowaries and Emu)"
"5","Apterygidae","(Kiwis)"
"6","Anhimidae","(Screamers)"
"7","Anseranatidae","(Magpie Goose)"
"8","Anatidae","(Ducks, Geese, and Waterfowl)"
"9","Megapodiidae","(Megapodes)"
"10","Cracidae","(Guans, Chachalacas, and Curassows)"
"11","Numididae","(Guineafowl)"
"12","Odontophoridae","(New World Quail)"
"13","Phasianidae","(Pheasants, Grouse, and Allies)"
"14","Phoenicopteridae","(Flamingos)"
"15","Podicipedidae","(Grebes)"
"16","Columbidae","(Pigeons and Doves)"
"17","Pteroclidae","(Sandgrouse)"
"18","Otididae","(Bustards)"
"19","Musophagidae","(Turacos)"
"20","Cuculidae","(Cuckoos)"
"21","Podargidae","(Frogmouths)"
"22","Caprimulgidae","(Nightjars and Allies)"
"23","Nyctibiidae","(Potoos)"
"24","Aegothelidae","(Owlet-nightjars)"
"25","Apodidae","(Swifts)"
"26","Hemiprocnidae","(Treeswifts)"
"27","Trochilidae","(Hummingbirds)"
"28","Opisthocomidae","(Hoatzin)"
"29","Rallidae","(Rails, Gallinules, and Coots)"
"30","Aramidae","(Limpkin)"
"31","Gruidae","(Cranes)"
"32","Pluvianellidae","(Magellanic Plover)"
"33","Burhinidae","(Thick-knees)"
"34","Recurvirostridae","(Stilts and Avocets)"
"35","Haematopodidae","(Oystercatchers)"
"36","Charadriidae","(Plovers and Lapwings)"
"37","Thinocoridae","(Seedsnipes)"
"38","Rostratulidae","(Painted-Snipes)"
"39","Jacanidae","(Jacanas)"
"40","Scolopacidae","(Sandpipers and Allies)"
"41","Turnicidae","(Buttonquail)"
"42","Dromadidae","(Crab-Plover)"
"43","Glareolidae","(Pratincoles and Coursers)"
"44","Stercorariidae","(Skuas and Jaegers)"
"45","Alcidae","(Auks, Murres, and Puffins)"
"46","Laridae","(Gulls, Terns, and Skimmers)"
"47","Eurypygidae","(Sunbittern)"
"48","Phaethontidae","(Tropicbirds)"
"49","Gaviidae","(Loons)"
"50","Spheniscidae","(Penguins)"
"51","Diomedeidae","(Albatrosses)"
"52","Procellariidae","(Shearwaters and Petrels)"
"53","Ciconiidae","(Storks)"
"54","Fregatidae","(Frigatebirds)"
"55","Sulidae","(Boobies and Gannets)"
"56","Anhingidae","(Anhingas)"
"57","Phalacrocoracidae","(Cormorants and Shags)"
"58","Pelecanidae","(Pelicans)"
"59","Balaenicipitidae","(Shoebill)"
"60","Scopidae","(Hamerkop)"
"61","Ardeidae","(Herons, Egrets, and Bitterns)"
"62","Threskiornithidae","(Ibises and Spoonbills)"
"63","Cathartidae","(New World Vultures)"
"64","Pandionidae","(Osprey)"
"65","Accipitridae","(Hawks, Eagles, and Kites)"
"66","Tytonidae","(Barn-Owls)"
"67","Strigidae","(Owls)"
"68","Coliidae","(Mousebirds)"
"69","Leptosomidae","(Cuckoo-roller)"
"70","Trogonidae","(Trogons)"
"71","Upupidae","(Hoopoes)"
"72","Phoeniculidae","(Woodhoopoes and Scimitarbills)"
"73","Bucerotidae","(Hornbills)"
"74","Todidae","(Todies)"
"75","Momotidae","(Motmots)"
"76","Alcedinidae","(Kingfishers)"
"77","Meropidae","(Bee-eaters)"
"78","Coraciidae","(Rollers)"
"79","Bucconidae","(Puffbirds)"
"80","Galbulidae","(Jacamars)"
"81","Lybiidae","(African Barbets)"
"82","Megalaimidae","(Asian Barbets)"
"83","Capitonidae","(New World Barbets)"
"84","Ramphastidae","(Toucans)"
"85","Indicatoridae","(Honeyguides)"
"86","Picidae","(Woodpeckers)"
"87","Cariamidae","(Seriemas)"
"88","Falconidae","(Falcons and Caracaras)"
"89","Strigopidae","(New Zealand Parrots)"
"90","Cacatuidae","(Cockatoos)"
"91","Psittaculidae","(Old World Parrots)"
"92","Psittacidae","(New World and African Parrots)"
"93","Acanthisittidae","(New Zealand Wrens)"
"94","Calyptomenidae","(African and Green Broadbills)"
"95","Eurylaimidae","(Asian and Grauer's Broadbills)"
"96","Pittidae","(Pittas)"
"97","Thamnophilidae","(Typical Antbirds)"
"98","Melanopareiidae","(Crescentchests)"
"99","Conopophagidae","(Gnateaters)"
"100","Grallariidae","(Antpittas)"
"101","Rhinocryptidae","(Tapaculos)"
"102","Formicariidae","(Antthrushes)"
"103","Furnariidae","(Ovenbirds and Woodcreepers)"
"104","Pipridae","(Manakins)"
"105","Cotingidae","(Cotingas)"
"106","Tityridae","(Tityras and Allies)"
"107","Oxyruncidae","(Sharpbill, Royal Flycatcher, and Allies)"
"108","Tyrannidae","(Tyrant Flycatchers)"
