"","Family_Sci","Family_English","Coastal","Notes"
"1","Regulidae","(Kinglets)","No",NA
"2","Passerellidae","(New World Sparrows)","No","mention of marsh but not saltwater or coastal "
"3","Acrocephalidae","(Reed Warblers and Allies)","No","mention of marsh --> did not explicitely say coastal… "
"4","Leiothrichidae","(Laughingthrushes and Allies)","No",NA
"5","Phylloscopidae","(Leaf Warblers)","No",NA
"6","Cacatuidae","(Cockatoos)","No",NA
"7","Psittaculidae","(Old World Parrots)","No",NA
"8","Pandionidae","(Osprey)","Yes",NA
"9","Ptiliogonatidae","(Silky-flycatchers)","No","woodlands near the coast… "
"10","Calcariidae","(Longspurs and Snow Buntings)","Yes","beaches / concentrate near coastlines"
"11","Icteriidae","(Yellow-breasted Chat)","Yes","mangroves"
"12","Pluvianellidae","(Magellanic Plover)","Yes","coast in winter, fresh or brackish water in other seasons"
"13","Mohouidae","(Whiteheads)","No",NA
"14","Callaeidae","(Wattlebirds)","No",NA
"15","Tityridae","(Tityras and Allies)","No",NA
"16","Psophodidae","(Whipbirds and Wedgebills)","No",NA
"17","Calyptomenidae","(African and Green Broadbills)","No",NA
"18","Grallariidae","(Antpittas)","No",NA
"19","Notiomystidae","(Stitchbird)","No",NA
"20","Donacobiidae","(Donacobius)","No","one species, water's edge gleaner, freshwater. "
"21","Stenostiridae","(Fairy Flycatchers)","No",NA
"22","Teretistridae","(Cuban Warblers)","Yes","ranges from coast to inland forests"
"23","Melanopareiidae","(Crescentchests)","No",NA
"24","Buphagidae","(Oxpeckers)","No",NA
"25","Scotocercidae","(Bush Warblers and Allies)","No",NA
"26","Bernieridae","(Malagasy Warblers)","No",NA
"27","Locustellidae","(Grassbirds and Allies)","No","swamps and marshes, but no mention of coastal"
"28","Macrosphenidae","(African Warblers)","No",NA
"29","Mitrospingidae","(Mitrospingid Tanagers)","No",NA
"30","Phaenicophilidae","(Hispaniolan Tanagers)","No",NA
"31","Rhodinocichlidae","(Thrush-Tanager)","No",NA
"32","Spindalidae","(Spindalises)","No",NA
"33","Pellorneidae","(Ground Babblers and Allies)","No",NA
"34","Panuridae","(Bearded Reedling)","No",NA
"35","Pnoepygidae","(Cupwings)","No",NA
"36","Chaetopidae","(Rockjumpers)","No",NA
"37","Oxyruncidae","(Sharpbill, Royal Flycatcher, and Allies)","No",NA
"38","Capitonidae","(New World Barbets)","No",NA
"39","Lybiidae","(African Barbets)","No",NA
"40","Megalaimidae","(Asian Barbets)","No",NA
"41","Strigopidae","(New Zealand Parrots)","No",NA
"42","Pteroclidae","(Sandgrouse)","No",NA
"43","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"44","Caprimulgidae","(Nightjars and Allies)","No",""
"45","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"46","Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"47","Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"48","Strigidae","(Owls)","No","near coast but maybe not coastal? Im sure some hunt in estuarine watersheds "
"49","Picidae","(Woodpeckers)","No",""
"50","Paridae","(Tits, Chickadees, and Titmice)","No",""
"51","Fringillidae","(Finches, Euphonias, and Allies)","No",""
"52","Parulidae","(New World Warblers)","No",""
"53","Accipitridae","(Hawks, Eagles, and Kites)","Yes",""
"54","Meliphagidae","(Honeyeaters)","No",""
"55","Muscicapidae","(Old World Flycatchers)","No",""
"56","Passeridae","(Old World Sparrows)","No",""
"57","Sylviidae","(Sylviid Warblers, Parrotbills, and Allies)","No",""
"58","Odontophoridae","(New World Quail)","No",""
"59","Cuculidae","(Cuckoos)","No",""
"60","Trochilidae","(Hummingbirds)","No",""
"61","Charadriidae","(Plovers and Lapwings)","Yes",""
"62","Scolopacidae","(Sandpipers and Allies)","Yes",""
"63","Ardeidae","(Herons, Egrets, and Bitterns)","Yes",""
"64","Tytonidae","(Barn-Owls)","No",""
"65","Falconidae","(Falcons and Caracaras)","Yes",""
"66","Tyrannidae","(Tyrant Flycatchers)","No",""
"67","Vireonidae","(Vireos, Shrike-Babblers, and Erpornis)","No",""
"68","Laniidae","(Shrikes)","No",""
"69","Alaudidae","(Larks)","No",""
"70","Sittidae","(Nuthatches)","No",""
"71","Certhiidae","(Treecreepers)","No",""
"72","Cinclidae","(Dippers)","No",""
"73","Turdidae","(Thrushes and Allies)","No",""
"74","Motacillidae","(Wagtails and Pipits)","No",""
"75","Icteridae","(Troupials and Allies)","No",""
"76","Cardinalidae","(Cardinals and Allies)","No",""
"77","Podargidae","(Frogmouths)","No",""
"78","Burhinidae","(Thick-knees)","Yes",""
"79","Columbidae","(Pigeons and Doves)","No",""
"80","Acanthizidae","(Thornbills and Allies)","No",""
"81","Pachycephalidae","(Whistlers and Allies)","No",""
