"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes","Mass","Mass_log","Parasite","Mound","NestSite_ground","NestSite_tree","NestSite_nontree","NestSite_cliff_bank","NestSite_underground","NestSite_waterbody","NestSite_termite_ant","NestStr_scrape","NestStr_platform","NestStr_cup","NestStr_dome","NestStr_dome_tunnel","NestStr_primary_cavity","NestStr_second_cavity","NestStr_Open","NestStr_Enclosed","OpenAndEnclosed"
"1","Dendrocygna autumnalis","Dendrocygna autumnalis","Dendrocygna autumnalis","Anatidae (Ducks, Geese, and Waterfowl)","Black-bellied Whistling-Duck",1.81844447970588,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",755.3,6.6271150213194,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,"both"
"2","Dendrocygna arborea","Dendrocygna arborea","Dendrocygna arborea","Anatidae (Ducks, Geese, and Waterfowl)","West Indian Whistling-Duck",2.525220171,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1150,7.0475172213573,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"3","Dendrocygna bicolor","Dendrocygna bicolor","Dendrocygna bicolor","Anatidae (Ducks, Geese, and Waterfowl)","Fulvous Whistling-Duck",1.7588630859,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",756.4,6.6285703367843,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"4","Dendrocygna javanica","Dendrocygna javanica","Dendrocygna javanica","Anatidae (Ducks, Geese, and Waterfowl)","Lesser Whistling-Duck",1.37270642608333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",519.6,6.25305928479644,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"5","Chloephaga melanoptera","Oressochen melanopterus","Chloephaga melanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Andean Goose",0.246674384333333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",2037,7.6192334162268,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"6","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Anatidae (Ducks, Geese, and Waterfowl)","Egyptian Goose",1.93030523564286,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1873,7.53529670244409,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"7","Tadorna tadornoides","Tadorna tadornoides","Tadorna tadornoides","Anatidae (Ducks, Geese, and Waterfowl)","Australian Shelduck",1.003822003,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1418.7,7.25749623831794,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"8","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Anatidae (Ducks, Geese, and Waterfowl)","Common Shelduck",1.478695685625,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1146.8,7.04473073400921,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,"both"
"9","Plectropterus gambensis","Plectropterus gambensis","Plectropterus gambensis","Anatidae (Ducks, Geese, and Waterfowl)","Spur-winged Goose",1.2936812125,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",3869,8.26075135470051,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,"both"
"10","Cairina moschata","Cairina moschata","Cairina moschata","Anatidae (Ducks, Geese, and Waterfowl)","Muscovy Duck",1.54239651525,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",2415.8,7.78978577417118,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,"both"
"11","Aix galericulata","Aix galericulata","Aix galericulata","Anatidae (Ducks, Geese, and Waterfowl)","Mandarin Duck",2.59087557418182,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",567,6.34035930372775,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"12","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anatidae (Ducks, Geese, and Waterfowl)","Mallard",2.02728985370968,"Anas platyrhynchos",1.830146203,"Anas platyrhynchos","U","Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",843.4,6.73744134131246,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"13","Anas rubripes","Anas rubripes","Anas rubripes","Anatidae (Ducks, Geese, and Waterfowl)","American Black Duck",2.08335016022222,"Anas rubripes",0.251627341,"Anas rubripes","N","Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1241,7.12367278520461,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"14","Anas fulvigula","Anas fulvigula","Anas fulvigula","Anatidae (Ducks, Geese, and Waterfowl)","Mottled Duck",1.580106454,"Anas fulvigula",1.471974087,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",843.4,6.73744134131246,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"15","Anas gracilis","Anas gracilis","Anas gracilis","Anatidae (Ducks, Geese, and Waterfowl)","Gray Teal",1.2110739561,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",488.1,6.1905203028931,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
