Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes,Mass,Mass_log,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,NestStr_scrape,NestStr_platform,NestStr_cup,NestStr_dome,NestStr_dome_tunnel,NestStr_primary_cavity,NestStr_second_cavity,NestStr_Open,NestStr_Enclosed,OpenAndEnclosed,NestStr,Notes_NestStr
Aix galericulata,Aix galericulata,Aix galericulata,"Anatidae (Ducks, Geese, and Waterfowl)",Mandarin Duck,2.590875574,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,567,6.340359304,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,0,mostly cavity nesters
Alca torda,Alca torda,Alca torda,"Alcidae (Auks, Murres, and Puffins)",Razorbill,1.460316072,NA,NA,NA,NA,Alcidae,"(Auks, Murres, and Puffins)",Yes,,726,6.587550015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,1,open. Mostly on exposed cliffs
Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,"Anatidae (Ducks, Geese, and Waterfowl)",Egyptian Goose,1.930305236,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,1873,7.535296702,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,both,1,open
Ammodramus maritimus,Ammospiza maritima,Ammospiza maritima,Passerellidae (New World Sparrows),Seaside Sparrow,1.207444999,Ammospiza maritima,-1.372249983,NA,NA,Passerellidae,(New World Sparrows),Yes,tidal marshes,22.2,3.100092289,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,both,1,open within coastal grass
Anas fulvigula,Anas fulvigula,Anas fulvigula,"Anatidae (Ducks, Geese, and Waterfowl)",Mottled Duck,1.580106454,Anas fulvigula,1.471974087,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,843.4,6.737441341,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,unclear from species description. Remove
Anas gibberifrons,Anas gibberifrons,Anas gibberifrons,"Anatidae (Ducks, Geese, and Waterfowl)",Sunda Teal,2.869584218,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,488.1,6.190520303,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,unclear from species description. Remove
Anas gracilis,Anas gracilis,Anas gracilis,"Anatidae (Ducks, Geese, and Waterfowl)",Gray Teal,1.211073956,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,488.1,6.190520303,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Mallard,2.027289854,Anas platyrhynchos,1.830146203,Anas platyrhynchos,U,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,843.4,6.737441341,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,1,mostly a ground nester with scrape nest
Anas rubripes,Anas rubripes,Anas rubripes,"Anatidae (Ducks, Geese, and Waterfowl)",American Black Duck,2.08335016,Anas rubripes,0.251627341,Anas rubripes,N,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,1241,7.123672785,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,sounds like a true generalist that uses both open and enclosed
Bucephala islandica,Bucephala islandica,Bucephala islandica,"Anatidae (Ducks, Geese, and Waterfowl)",Barrow's Goldeneye,1.953687012,Bucephala islandica,-1.280978441,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,921.2,6.825677168,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,0,mostly cavity nesters
Cairina moschata,Cairina moschata,Cairina moschata,"Anatidae (Ducks, Geese, and Waterfowl)",Muscovy Duck,1.542396515,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,2415.8,7.789785774,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,both,0,mostly cavity nesters
Cathartes aura,Cathartes aura,Cathartes aura,Cathartidae (New World Vultures),Turkey Vulture,1.405658159,Cathartes aura,0.911774813,NA,NA,Cathartidae,(New World Vultures),Yes,shorelines,1518.2,7.325280702,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,both,0,"mostly crevices, caves, ""Dark recesses"""
Cathartes burrovianus,Cathartes burrovianus,Cathartes burrovianus,Cathartidae (New World Vultures),Lesser Yellow-headed Vulture,1.855225173,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,mangroves,935,6.840546529,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Chloephaga melanoptera,Oressochen melanopterus,Chloephaga melanoptera,"Anatidae (Ducks, Geese, and Waterfowl)",Andean Goose,0.246674384,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,2037,7.619233416,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,1,open. Simple scrape on ground
Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,"Anatidae (Ducks, Geese, and Waterfowl)",Long-tailed Duck,1.7954765,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,871,6.769641977,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,1,open. often placed in natural depression. No description of covering or enclosure
Cossypha caffra,Cossypha caffra,Dessonornis caffer,Muscicapidae (Old World Flycatchers),Cape Robin-Chat,1.790624054,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,forages in intertidal zone,28.5,3.349904087,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,both,0,mostly enclosed
Delichon dasypus,Delichon dasypus,Delichon dasypus,Hirundinidae (Swallows),Asian House-Martin,1.585357068,NA,NA,NA,NA,Hirundinidae,(Swallows),Yes,sea coasts  ,18,2.890371758,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,both,NA,remove. Built of mud. Can be open or enclosed
Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea,"Anatidae (Ducks, Geese, and Waterfowl)",West Indian Whistling-Duck,2.525220171,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,1150,7.047517221,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,"Anatidae (Ducks, Geese, and Waterfowl)",Black-bellied Whistling-Duck,1.81844448,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,755.3,6.627115021,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,both,0,mostly cavity nesters
Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor,"Anatidae (Ducks, Geese, and Waterfowl)",Fulvous Whistling-Duck,1.758863086,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,756.4,6.628570337,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,1,open. Cup that can have some canopy but rarely fully enclosed
Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica,"Anatidae (Ducks, Geese, and Waterfowl)",Lesser Whistling-Duck,1.372706426,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,519.6,6.253059285,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Empidonax difficilis,Empidonax difficilis,Empidonax difficilis,Tyrannidae (Tyrant Flycatchers),Pacific-slope Flycatcher,1.265451965,Empidonax difficilis,0.804310633,NA,NA,Tyrannidae,(Tyrant Flycatchers),Yes,coastal scrub,10.7,2.370243741,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,both,NA,remove. Hard to tell from description
Erithacus rubecula,Erithacus rubecula,Erithacus rubecula,Muscicapidae (Old World Flycatchers),European Robin,1.996131005,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,coastal areas,17.7,2.87356464,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,both,1,mostly enclosed
Erythropygia coryphaeus,Cercotrichas coryphoeus,Tychaedon coryphoeus,Muscicapidae (Old World Flycatchers),Karoo Scrub-Robin,0.488238414,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,coastal scrub and sandy beaches,20.4,3.015534901,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,both,1,open. deep cup nest
Falco columbarius,Falco columbarius,Falco columbarius,Falconidae (Falcons and Caracaras),Merlin,1.832785331,Falco columbarius,0.512835804,Falco columbarius,U,Falconidae,(Falcons and Caracaras),Yes,tidal flats and marshes (hunts shorebirds),188.5,5.239098007,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,1,open. Uses corvid and hawk nests in trees
Falco peregrinus,Falco peregrinus,Falco peregrinus,Falconidae (Falcons and Caracaras),Peregrine Falcon,1.974832947,NA,NA,Falco peregrinus,U,Falconidae,(Falcons and Caracaras),Yes,coastal beaches,760,6.633318433,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,1,"open. Prefer cliffs, ledge and platforms"
Falco tinnunculus,Falco tinnunculus,Falco tinnunculus,Falconidae (Falcons and Caracaras),Eurasian Kestrel,1.675649945,NA,NA,Falco tinnunculus,U,Falconidae,(Falcons and Caracaras),Yes,winter in coastal areas,183.2,5.210578452,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,remove. Crevices/cavities/caves but also open ledges
Gallinula mortierii,Tribonyx mortierii,Tribonyx mortierii,"Rallidae (Rails, Gallinules, and Coots)",Tasmanian Nativehen,0.661412864,NA,NA,Gallinula mortierii,N,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,1291.8,7.163791874,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,remove. Seems like they like concealed nests and that can sometimes involve building closed nests but not always
Gallirallus australis,Gallirallus australis,Gallirallus australis,"Rallidae (Rails, Gallinules, and Coots)",Weka,0.110806108,NA,NA,NA,NA,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,875.7,6.775023567,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,both,0,in burrows or under other items that provide cover
Gallirallus philippensis,Gallirallus philippensis,Hypotaenidia philippensis,"Rallidae (Rails, Gallinules, and Coots)",Buff-banded Rail,1.68081867,NA,NA,NA,NA,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,205.9,5.327390614,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,both,1,cup nest
Gygis alba,Gygis alba,Gygis alba,"Laridae (Gulls, Terns, and Skimmers)",White Tern,2.724753083,NA,NA,NA,NA,Laridae,"(Gulls, Terns, and Skimmers)",Yes,,117,4.762173935,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,no matches on Birds of the World
Gymnogyps californianus,Gymnogyps californianus,Gymnogyps californianus,Cathartidae (New World Vultures),California Condor,NA,Gymnogyps californianus,-2.012193751,NA,NA,Cathartidae,(New World Vultures),Yes,beaches,8442.7,9.041057442,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,"remove. Caves, trees, ledges. Variable in degree of openness"
Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus,"Anatidae (Ducks, Geese, and Waterfowl)",Harlequin Duck,2.031957704,Histrionicus histrionicus,-1.743704621,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,561.6,6.330789853,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,sounds like a true generalist that uses both open and enclosed
Larosterna inca,Larosterna inca,Larosterna inca,"Laridae (Gulls, Terns, and Skimmers)",Inca Tern,2.71052745,NA,NA,NA,NA,Laridae,"(Gulls, Terns, and Skimmers)",Yes,,219,5.38907173,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,both,0,"closed. Rocky crevices, burrows, caves"
Malacorhynchus membranaceus,Malacorhynchus membranaceus,Malacorhynchus membranaceus,"Anatidae (Ducks, Geese, and Waterfowl)",Pink-eared Duck,1.289541634,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,372.8,5.921042083,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,both,0,Mostly enclosed or partly enclosed
Mergus merganser,Mergus merganser,Mergus merganser,"Anatidae (Ducks, Geese, and Waterfowl)",Common Merganser,1.796518556,Mergus merganser,0.08949905,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,1451,7.280008253,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,both,0,mostly cavity nesters
Phaethon aethereus,Phaethon aethereus,Phaethon aethereus,Phaethontidae (Tropicbirds),Red-billed Tropicbird,0.781328745,NA,NA,NA,NA,Phaethontidae,(Tropicbirds),Yes,"small, remote oceanic islands - rarely on coasts. Mainly pelagic ",750,6.620073207,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,remove. Crevices or scrape on ground
Phaethon lepturus,Phaethon lepturus,Phaethon lepturus,Phaethontidae (Tropicbirds),White-tailed Tropicbird,0.743292194,NA,NA,NA,NA,Phaethontidae,(Tropicbirds),Yes,frequents coast,328,5.793013608,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,0,most are enclosed by rocks (crevices)
Phaethon rubricauda,Phaethon rubricauda,Phaethon rubricauda,Phaethontidae (Tropicbirds),Red-tailed Tropicbird,0.752956746,NA,NA,NA,NA,Phaethontidae,(Tropicbirds),Yes,breeds on remote islands,671.9,6.51010952,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,0,"open. On ground, often near a structure that provides shade but not enclosed"
Phalacrocorax aristotelis,Gulosus aristotelis,Gulosus aristotelis,Phalacrocoracidae (Cormorants and Shags),European Shag,1.795368512,NA,NA,NA,NA,Phalacrocoracidae,(Cormorants and Shags),Yes,,1764.3,7.47550929,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,remove. nests in burrows and in exposed areas (ledges/cliffs)
Phaps elegans,Phaps elegans,Phaps elegans,Columbidae (Pigeons and Doves),Brush Bronzewing,0.317854939,NA,NA,Phaps elegans,N,Columbidae,(Pigeons and Doves),Yes,coastal heathlands ,211.4,5.353752073,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,both,1,open. cup nest
Philesturnus carunculatus,Philesturnus rufusater,Philesturnus rufusater,Callaeidae (Wattlebirds),North Island Saddleback,0.024779848,NA,NA,NA,NA,Callaeidae,(Wattlebirds),Yes,restricted to coastal forests,74.7,4.313480092,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,both,0,cup nest usually inside cavity
Plectropterus gambensis,Plectropterus gambensis,Plectropterus gambensis,"Anatidae (Ducks, Geese, and Waterfowl)",Spur-winged Goose,1.293681213,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,3869,8.260751355,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Porzana fluminea,Porzana fluminea,Porzana fluminea,"Rallidae (Rails, Gallinules, and Coots)",Australian Crake,1.505670922,NA,NA,NA,NA,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,60.8,4.107589789,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,both,NA,remove. Limited info available
Sarcoramphus papa,Sarcoramphus papa,Sarcoramphus papa,Cathartidae (New World Vultures),King Vulture,0.215717289,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,coastal grassland,3400,8.131530711,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,NA,"remove. Caves, trees, ledges. Variable in degree of openness"
Sarkidiornis melanotos,Sarkidiornis melanotos,Sarkidiornis melanotos,"Anatidae (Ducks, Geese, and Waterfowl)",Knob-billed Duck,1.325744697,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,2610,7.8671055,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Seiurus motacilla,Parkesia motacilla,Parkesia motacilla,Parulidae (New World Warblers),Louisiana Waterthrush,1.318129727,Parkesia motacilla,-0.723023471,NA,NA,Parulidae,(New World Warblers),Yes,coastal mangroves sometimes,19.9,2.990719732,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,both,NA,remove. Can vary in their exposure from open to inside cavities
Seiurus noveboracensis,Parkesia noveboracensis,Parkesia noveboracensis,Parulidae (New World Warblers),Northern Waterthrush,1.789847288,Parkesia noveboracensis,-1.057137237,NA,NA,Parulidae,(New World Warblers),Yes,mangroves and coastal scrub,16.3,2.791165108,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,both,NA,remove. Prefers to nest in cavities associated with the roots of trees. This could vary in degree of openness
Spheniscus demersus,Spheniscus demersus,Spheniscus demersus,Spheniscidae (Penguins),African Penguin,1.482080667,NA,NA,NA,NA,Spheniscidae,(Penguins),Yes,,3130.1,8.048820232,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,both,0,closed. Burrows
Spheniscus magellanicus,Spheniscus magellanicus,Spheniscus magellanicus,Spheniscidae (Penguins),Magellanic Penguin,0.392152754,NA,NA,NA,NA,Spheniscidae,(Penguins),Yes,,4105.1,8.319985382,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,both,NA,remove. nests in burrows and in exposed areas
Sterna anaethetus,Onychoprion anaethetus,Onychoprion anaethetus,"Laridae (Gulls, Terns, and Skimmers)",Bridled Tern,0.485866756,NA,NA,NA,NA,Laridae,"(Gulls, Terns, and Skimmers)",Yes,,119.4,4.782479201,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,both,0,closed. Rocky crevices
Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",Common Shelduck,1.478695686,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,1146.8,7.044730734,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,both,0,Mostly enclosed or partly enclosed
Tadorna tadornoides,Tadorna tadornoides,Tadorna tadornoides,"Anatidae (Ducks, Geese, and Waterfowl)",Australian Shelduck,1.003822003,NA,NA,NA,NA,Anatidae,"(Ducks, Geese, and Waterfowl)",Yes,,1418.7,7.257496238,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,both,NA,remove. Limited info available
Thinornis novaeseelandiae,Thinornis novaeseelandiae,Thinornis novaeseelandiae,Charadriidae (Plovers and Lapwings),Shore Plover,0.088743361,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,beaches,61,4.110873864,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,both,NA,remove. Cavities but also cup shaped scrape in sand
